Unnamed: 0,Timestamp,SLPR7:Voltage A:Angle,SLPR7:Voltage B:Angle,SLPR7:Voltage C:Angle,RAICHUR 400 KV:Frequency,SLPR7:Frequency,Raichur-SLPR1(MVAR):Analog,SLPR-RACHR1 (MVAR):Analog,RACHR-SLPR1-7 Va:Voltage A:Magnitude,RACHR-SLPR1-7 Vb:Voltage B:Magnitude,RACHR-SLPR1-7 Vc:Voltage C:Magnitude,SLPR7:Voltage A:Magnitude,SLPR7:Voltage B:Magnitude,SLPR7:Voltage C:Magnitude,Raichur-SLPR1(MW):Analog,SLPR-RACHR1 (MW):Analog,anomaly,deviation
21318,2014/12/20 05:44:08.240,-24.6191,-145.2313,94.7458,49.9575,49.957,-19198590.0,-232703504.0,443427.8438,445607.8438,442098.375,432225.5,433193.9688,431451.4063,-192623120.0,193201424.0,1,28.228038056505888
21317,2014/12/20 05:44:08.200,-24.0024,-144.6143,95.3633,49.9576,49.9571,-18272526.0,-232794816.0,443420.4688,445601.9688,442088.0938,432218.1563,433180.0625,431443.0625,-193182944.0,193623056.0,1,28.16863779344703
21366,2014/12/20 05:44:10.160,-54.0158,-174.6286,65.3462,49.9583,49.9585,-15155478.0,-235324032.0,443183.1563,445351.5,441831.4063,431876.625,432818.9688,431067.0625,-206824512.0,206869696.0,1,28.122302821395508
21278,2014/12/20 05:44:06.640,-0.1399,-120.7528,119.2216,49.9571,49.9569,-15587286.0,-235481632.0,443216.2813,445405.4375,441885.5313,431908.9375,432870.7813,431123.5313,-199385824.0,201415840.0,1,28.119893892518274
21316,2014/12/20 05:44:08.160,-23.3831,-143.9947,95.9827,49.9575,49.9571,-17902716.0,-232944096.0,443413.7813,445595.0938,442079.9688,432208.875,433167.2188,431432.5625,-193374784.0,193961184.0,1,28.075432764615062
21279,2014/12/20 05:44:06.680,-0.7577,-121.37,118.6041,49.9569,49.957,-15617235.0,-235513440.0,443218.25,445409.3125,441891.0,431919.5313,432880.0938,431136.8125,-199382704.0,201348672.0,1,27.967005919248248
21367,2014/12/20 05:44:10.200,-54.6162,-175.2283,64.7465,49.9584,49.9586,-15993912.0,-235405152.0,443180.75,445347.9375,441831.8438,431865.875,432804.9063,431057.6563,-207067360.0,207052784.0,1,27.950227837472003
21315,2014/12/20 05:44:08.120,-22.769,-143.381,96.5956,49.9574,49.9572,-18060882.0,-233032320.0,443406.7813,445591.0313,442072.3438,432201.375,433165.9375,431425.9063,-193592112.0,194327792.0,1,27.9122020823922
21280,2014/12/20 05:44:06.720,-1.3798,-121.9924,117.9815,49.957,49.957,-15977769.0,-235490896.0,443222.875,445413.8125,441896.5938,431925.7188,432888.4063,431142.3125,-199549584.0,201285984.0,1,27.838265460876343
21314,2014/12/20 05:44:08.080,-22.1528,-142.7655,97.2109,49.9575,49.9572,-18584016.0,-233059600.0,443401.0625,445583.5,442062.6563,432190.3125,433158.5938,431413.2188,-193819888.0,194681680.0,1,27.741505223775533
